,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,1.0,0.0,3.0,"Braund, Mr. Owen Harris",male,22.0,1.0,0.0,A/5 21171,7.25,,S
1,2.0,1.0,1.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1.0,0.0,PC 17599,71.2833,C85,C
2,3.0,1.0,3.0,"Heikkinen, Miss. Laina",female,26.0,0.0,0.0,STON/O2. 3101282,7.925,,S
3,4.0,1.0,1.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1.0,0.0,113803,53.1,C123,S
4,5.0,0.0,3.0,"Allen, Mr. William Henry",male,35.0,0.0,0.0,373450,8.05,,S
5,6.0,0.0,3.0,"Moran, Mr. James",male,,0.0,0.0,330877,8.4583,,Q
6,7.0,0.0,1.0,"McCarthy, Mr. Timothy J",male,54.0,0.0,0.0,17463,51.8625,E46,S
7,8.0,0.0,3.0,"Palsson, Master. Gosta Leonard",male,2.0,3.0,1.0,349909,21.075,,S
8,9.0,1.0,3.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0.0,2.0,347742,11.1333,,S
9,10.0,1.0,2.0,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1.0,0.0,237736,30.0708,,C
10,11.0,1.0,3.0,"Sandstrom, Miss. Marguerite Rut",female,4.0,1.0,1.0,PP 9549,16.7,G6,S
11,12.0,1.0,1.0,"Bonnell, Miss. Elizabeth",female,58.0,0.0,0.0,113783,26.55,C103,S
12,13.0,0.0,3.0,"Saundercock, Mr. William Henry",male,20.0,0.0,0.0,A/5. 2151,8.05,,S
13,14.0,0.0,3.0,"Andersson, Mr. Anders Johan",male,39.0,1.0,5.0,347082,31.275,,S
14,15.0,0.0,3.0,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0.0,0.0,350406,7.8542,,S
15,16.0,1.0,2.0,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0.0,0.0,248706,16.0,,S
16,17.0,0.0,3.0,"Rice, Master. Eugene",male,2.0,4.0,1.0,382652,29.125,,Q
17,18.0,1.0,2.0,"Williams, Mr. Charles Eugene",male,,0.0,0.0,244373,13.0,,S
18,19.0,0.0,3.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1.0,0.0,345763,18.0,,S
19,20.0,1.0,3.0,"Masselmani, Mrs. Fatima",female,,0.0,0.0,2649,7.225,,C
20,21.0,0.0,2.0,"Fynney, Mr. Joseph J",male,35.0,0.0,0.0,239865,26.0,,S
21,22.0,1.0,2.0,"Beesley, Mr. Lawrence",male,34.0,0.0,0.0,248698,13.0,D56,S
22,23.0,1.0,3.0,"McGowan, Miss. Anna ""Annie""",female,15.0,0.0,0.0,330923,8.0292,,Q
23,24.0,1.0,1.0,"Sloper, Mr. William Thompson",male,28.0,0.0,0.0,113788,35.5,A6,S
24,25.0,0.0,3.0,"Palsson, Miss. Torborg Danira",female,8.0,3.0,1.0,349909,21.075,,S
25,26.0,1.0,3.0,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1.0,5.0,347077,31.3875,,S
26,27.0,0.0,3.0,"Emir, Mr. Farred Chehab",male,,0.0,0.0,2631,7.225,,C
27,28.0,0.0,1.0,"Fortune, Mr. Charles Alexander",male,19.0,3.0,2.0,19950,263.0,C23 C25 C27,S
28,29.0,1.0,3.0,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0.0,0.0,330959,7.8792,,Q
29,30.0,0.0,3.0,"Todoroff, Mr. Lalio",male,,0.0,0.0,349216,7.8958,,S
30,31.0,0.0,1.0,"Uruchurtu, Don. Manuel E",male,40.0,0.0,0.0,PC 17601,27.7208,,C
31,32.0,1.0,1.0,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1.0,0.0,PC 17569,146.5208,B78,C
32,33.0,1.0,3.0,"Glynn, Miss. Mary Agatha",female,,0.0,0.0,335677,7.75,,Q
33,34.0,0.0,2.0,"Wheadon, Mr. Edward H",male,66.0,0.0,0.0,C.A. 24579,10.5,,S
34,35.0,0.0,1.0,"Meyer, Mr. Edgar Joseph",male,28.0,1.0,0.0,PC 17604,82.1708,,C
35,36.0,0.0,1.0,"Holverson, Mr. Alexander Oskar",male,42.0,1.0,0.0,113789,52.0,,S
36,37.0,1.0,3.0,"Mamee, Mr. Hanna",male,,0.0,0.0,2677,7.2292,,C
37,38.0,0.0,3.0,"Cann, Mr. Ernest Charles",male,21.0,0.0,0.0,A./5. 2152,8.05,,S
38,39.0,0.0,3.0,"Vander Planke, Miss. Augusta Maria",female,18.0,2.0,0.0,345764,18.0,,S
39,40.0,1.0,3.0,"Nicola-Yarred, Miss. Jamila",female,14.0,1.0,0.0,2651,11.2417,,C
40,41.0,0.0,3.0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1.0,0.0,7546,9.475,,S
41,42.0,0.0,2.0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1.0,0.0,11668,21.0,,S
42,43.0,0.0,3.0,"Kraeff, Mr. Theodor",male,,0.0,0.0,349253,7.8958,,C
43,44.0,1.0,2.0,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1.0,2.0,SC/Paris 2123,41.5792,,C
44,45.0,1.0,3.0,"Devaney, Miss. Margaret Delia",female,19.0,0.0,0.0,330958,7.8792,,Q
45,46.0,0.0,3.0,"Rogers, Mr. William John",male,,0.0,0.0,S.C./A.4. 23567,8.05,,S
46,47.0,0.0,3.0,"Lennon, Mr. Denis",male,,1.0,0.0,370371,15.5,,Q
47,48.0,1.0,3.0,"O'Driscoll, Miss. Bridget",female,,0.0,0.0,14311,7.75,,Q
48,49.0,0.0,3.0,"Samaan, Mr. Youssef",male,,2.0,0.0,2662,21.6792,,C
49,50.0,0.0,3.0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1.0,0.0,349237,17.8,,S
50,51.0,0.0,3.0,"Panula, Master. Juha Niilo",male,7.0,4.0,1.0,3101295,39.6875,,S
51,52.0,0.0,3.0,"Nosworthy, Mr. Richard Cater",male,21.0,0.0,0.0,A/4. 39886,7.8,,S
52,53.0,1.0,1.0,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1.0,0.0,PC 17572,76.7292,D33,C
53,54.0,1.0,2.0,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1.0,0.0,2926,26.0,,S
54,55.0,0.0,1.0,"Ostby, Mr. Engelhart Cornelius",male,65.0,0.0,1.0,113509,61.9792,B30,C
55,56.0,1.0,1.0,"Woolner, Mr. Hugh",male,,0.0,0.0,19947,35.5,C52,S
56,57.0,1.0,2.0,"Rugg, Miss. Emily",female,21.0,0.0,0.0,C.A. 31026,10.5,,S
57,58.0,0.0,3.0,"Novel, Mr. Mansouer",male,28.5,0.0,0.0,2697,7.2292,,C
58,59.0,1.0,2.0,"West, Miss. Constance Mirium",female,5.0,1.0,2.0,C.A. 34651,27.75,,S
59,60.0,0.0,3.0,"Goodwin, Master. William Frederick",male,11.0,5.0,2.0,CA 2144,46.9,,S
60,61.0,0.0,3.0,"Sirayanian, Mr. Orsen",male,22.0,0.0,0.0,2669,7.2292,,C
61,62.0,1.0,1.0,"Icard, Miss. Amelie",female,38.0,0.0,0.0,113572,80.0,B28,
62,63.0,0.0,1.0,"Harris, Mr. Henry Birkhardt",male,45.0,1.0,0.0,36973,83.475,C83,S
63,64.0,0.0,3.0,"Skoog, Master. Harald",male,4.0,3.0,2.0,347088,27.9,,S
64,65.0,0.0,1.0,"Stewart, Mr. Albert A",male,,0.0,0.0,PC 17605,27.7208,,C
65,66.0,1.0,3.0,"Moubarek, Master. Gerios",male,,1.0,1.0,2661,15.2458,,C
66,67.0,1.0,2.0,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0.0,0.0,C.A. 29395,10.5,F33,S
67,68.0,0.0,3.0,"Crease, Mr. Ernest James",male,19.0,0.0,0.0,S.P. 3464,8.1583,,S
68,69.0,1.0,3.0,"Andersson, Miss. Erna Alexandra",female,17.0,4.0,2.0,3101281,7.925,,S
69,70.0,0.0,3.0,"Kink, Mr. Vincenz",male,26.0,2.0,0.0,315151,8.6625,,S
70,71.0,0.0,2.0,"Jenkin, Mr. Stephen Curnow",male,32.0,0.0,0.0,C.A. 33111,10.5,,S
71,72.0,0.0,3.0,"Goodwin, Miss. Lillian Amy",female,16.0,5.0,2.0,CA 2144,46.9,,S
72,73.0,0.0,2.0,"Hood, Mr. Ambrose Jr",male,21.0,0.0,0.0,S.O.C. 14879,73.5,,S
73,74.0,0.0,3.0,"Chronopoulos, Mr. Apostolos",male,26.0,1.0,0.0,2680,14.4542,,C
74,75.0,1.0,3.0,"Bing, Mr. Lee",male,32.0,0.0,0.0,1601,56.4958,,S
75,76.0,0.0,3.0,"Moen, Mr. Sigurd Hansen",male,25.0,0.0,0.0,348123,7.65,F G73,S
76,77.0,0.0,3.0,"Staneff, Mr. Ivan",male,,0.0,0.0,349208,7.8958,,S
77,78.0,0.0,3.0,"Moutal, Mr. Rahamin Haim",male,,0.0,0.0,374746,8.05,,S
78,79.0,1.0,2.0,"Caldwell, Master. Alden Gates",male,0.83,0.0,2.0,248738,29.0,,S
79,80.0,1.0,3.0,"Dowdell, Miss. Elizabeth",female,30.0,0.0,0.0,364516,12.475,,S
80,81.0,0.0,3.0,"Waelens, Mr. Achille",male,22.0,0.0,0.0,345767,9.0,,S
81,82.0,1.0,3.0,"Sheerlinck, Mr. Jan Baptist",male,29.0,0.0,0.0,345779,9.5,,S
82,83.0,1.0,3.0,"McDermott, Miss. Brigdet Delia",female,,0.0,0.0,330932,7.7875,,Q
83,84.0,0.0,1.0,"Carrau, Mr. Francisco M",male,28.0,0.0,0.0,113059,47.1,,S
84,85.0,1.0,2.0,"Ilett, Miss. Bertha",female,17.0,0.0,0.0,SO/C 14885,10.5,,S
85,86.0,1.0,3.0,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3.0,0.0,3101278,15.85,,S
86,87.0,0.0,3.0,"Ford, Mr. William Neal",male,16.0,1.0,3.0,W./C. 6608,34.375,,S
87,88.0,0.0,3.0,"Slocovski, Mr. Selman Francis",male,,0.0,0.0,SOTON/OQ 392086,8.05,,S
88,89.0,1.0,1.0,"Fortune, Miss. Mabel Helen",female,23.0,3.0,2.0,19950,263.0,C23 C25 C27,S
89,90.0,0.0,3.0,"Celotti, Mr. Francesco",male,24.0,0.0,0.0,343275,8.05,,S
90,91.0,0.0,3.0,"Christmann, Mr. Emil",male,29.0,0.0,0.0,343276,8.05,,S
91,92.0,0.0,3.0,"Andreasson, Mr. Paul Edvin",male,20.0,0.0,0.0,347466,7.8542,,S
92,93.0,0.0,1.0,"Chaffee, Mr. Herbert Fuller",male,46.0,1.0,0.0,W.E.P. 5734,61.175,E31,S
93,94.0,0.0,3.0,"Dean, Mr. Bertram Frank",male,26.0,1.0,2.0,C.A. 2315,20.575,,S
94,95.0,0.0,3.0,"Coxon, Mr. Daniel",male,59.0,0.0,0.0,364500,7.25,,S
95,96.0,0.0,3.0,"Shorney, Mr. Charles Joseph",male,,0.0,0.0,374910,8.05,,S
96,97.0,0.0,1.0,"Goldschmidt, Mr. George B",male,71.0,0.0,0.0,PC 17754,34.6542,A5,C
97,98.0,1.0,1.0,"Greenfield, Mr. William Bertram",male,23.0,0.0,1.0,PC 17759,63.3583,D10 D12,C
98,99.0,1.0,2.0,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0.0,1.0,231919,23.0,,S
99,100.0,0.0,2.0,"Kantor, Mr. Sinai",male,34.0,1.0,0.0,244367,26.0,,S
100,101.0,0.0,3.0,"Petranec, Miss. Matilda",female,28.0,0.0,0.0,349245,7.8958,,S
101,102.0,0.0,3.0,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0.0,0.0,349215,7.8958,,S
102,103.0,0.0,1.0,"White, Mr. Richard Frasar",male,21.0,0.0,1.0,35281,77.2875,D26,S
103,104.0,0.0,3.0,"Johansson, Mr. Gustaf Joel",male,33.0,0.0,0.0,7540,8.6542,,S
104,105.0,0.0,3.0,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2.0,0.0,3101276,7.925,,S
105,106.0,0.0,3.0,"Mionoff, Mr. Stoytcho",male,28.0,0.0,0.0,349207,7.8958,,S
106,107.0,1.0,3.0,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0.0,0.0,343120,7.65,,S
107,108.0,1.0,3.0,"Moss, Mr. Albert Johan",male,,0.0,0.0,312991,7.775,,S
108,109.0,0.0,3.0,"Rekic, Mr. Tido",male,38.0,0.0,0.0,349249,7.8958,,S
109,110.0,1.0,3.0,"Moran, Miss. Bertha",female,,1.0,0.0,371110,24.15,,Q
110,111.0,0.0,1.0,"Porter, Mr. Walter Chamberlain",male,47.0,0.0,0.0,110465,52.0,C110,S
111,112.0,0.0,3.0,"Zabour, Miss. Hileni",female,14.5,1.0,0.0,2665,14.4542,,C
112,113.0,0.0,3.0,"Barton, Mr. David John",male,22.0,0.0,0.0,324669,8.05,,S
113,114.0,0.0,3.0,"Jussila, Miss. Katriina",female,20.0,1.0,0.0,4136,9.825,,S
114,115.0,0.0,3.0,"Attalah, Miss. Malake",female,17.0,0.0,0.0,2627,14.4583,,C
115,116.0,0.0,3.0,"Pekoniemi, Mr. Edvard",male,21.0,0.0,0.0,STON/O 2. 3101294,7.925,,S
116,117.0,0.0,3.0,"Connors, Mr. Patrick",male,70.5,0.0,0.0,370369,7.75,,Q
117,118.0,0.0,2.0,"Turpin, Mr. William John Robert",male,29.0,1.0,0.0,11668,21.0,,S
118,119.0,0.0,1.0,"Baxter, Mr. Quigg Edmond",male,24.0,0.0,1.0,PC 17558,247.5208,B58 B60,C
119,120.0,0.0,3.0,"Andersson, Miss. Ellis Anna Maria",female,2.0,4.0,2.0,347082,31.275,,S
120,121.0,0.0,2.0,"Hickman, Mr. Stanley George",male,21.0,2.0,0.0,S.O.C. 14879,73.5,,S
121,122.0,0.0,3.0,"Moore, Mr. Leonard Charles",male,,0.0,0.0,A4. 54510,8.05,,S
122,123.0,0.0,2.0,"Nasser, Mr. Nicholas",male,32.5,1.0,0.0,237736,30.0708,,C
123,124.0,1.0,2.0,"Webber, Miss. Susan",female,32.5,0.0,0.0,27267,13.0,E101,S
124,125.0,0.0,1.0,"White, Mr. Percival Wayland",male,54.0,0.0,1.0,35281,77.2875,D26,S
125,126.0,1.0,3.0,"Nicola-Yarred, Master. Elias",male,12.0,1.0,0.0,2651,11.2417,,C
126,127.0,0.0,3.0,"McMahon, Mr. Martin",male,,0.0,0.0,370372,7.75,,Q
127,128.0,1.0,3.0,"Madsen, Mr. Fridtjof Arne",male,24.0,0.0,0.0,C 17369,7.1417,,S
128,129.0,1.0,3.0,"Peter, Miss. Anna",female,,1.0,1.0,2668,22.3583,F E69,C
129,130.0,0.0,3.0,"Ekstrom, Mr. Johan",male,45.0,0.0,0.0,347061,6.975,,S
130,131.0,0.0,3.0,"Drazenoic, Mr. Jozef",male,33.0,0.0,0.0,349241,7.8958,,C
131,132.0,0.0,3.0,"Coelho, Mr. Domingos Fernandeo",male,20.0,0.0,0.0,SOTON/O.Q. 3101307,7.05,,S
132,133.0,0.0,3.0,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1.0,0.0,A/5. 3337,14.5,,S
133,134.0,1.0,2.0,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1.0,0.0,228414,26.0,,S
134,135.0,0.0,2.0,"Sobey, Mr. Samuel James Hayden",male,25.0,0.0,0.0,C.A. 29178,13.0,,S
